,Open_time_unix,Open_time,open,high,low,close,volume,close_time_unix,Close_time,quote_volume,trans_count,taker_buy_volume,taker_buy_quote_volume,positive_p,negative_p,neutral_p
1155,2024-01-06 04:00:00,2024-01-06 04:00:00,2235.2,2235.6,2216.4,2233.12,30238.6245,2024-01-06 06:00:00,2024-01-06 06:00:00,67313483.46,56406.0,15113.1144,33642165.26,0.47510262433333333,0.09818125932166666,0.4267161423333333
1156,2024-01-06 06:00:00,2024-01-06 06:00:00,2233.13,2240.0,2228.58,2234.6,14613.2012,2024-01-06 08:00:00,2024-01-06 08:00:00,32662513.24,36794.0,8581.4078,19181817.65,0.49500279858333335,0.020978585194999996,0.4840186169166667
1157,2024-01-06 08:00:00,2024-01-06 08:00:00,2234.6,2239.2,2229.92,2238.67,13201.3745,2024-01-06 10:00:00,2024-01-06 10:00:00,29499220.54,37618.0,7308.0292,16330168.22,0.4639100565666667,0.052847544675,0.4832423901333333
1158,2024-01-06 10:00:00,2024-01-06 10:00:00,2238.67,2241.76,2228.37,2237.01,17327.0349,2024-01-06 12:00:00,2024-01-06 12:00:00,38746408.44,36480.0,8982.6071,20089231.52,0.5680271314083334,0.03296602959833332,0.39900683086666666
1159,2024-01-06 12:00:00,2024-01-06 12:00:00,2237.0,2248.32,2236.4,2246.4,23751.7358,2024-01-06 14:00:00,2024-01-06 14:00:00,53287534.6,42851.0,11245.6935,25232911.66,0.4627681787111111,0.09483507456222223,0.4423967432222222
1160,2024-01-06 14:00:00,2024-01-06 14:00:00,2246.41,2252.45,2243.02,2248.67,11945.6346,2024-01-06 16:00:00,2024-01-06 16:00:00,26843419.9,32927.0,6119.583,13754073.76,0.4570765921166667,0.134534509712,0.4083889031333333
1161,2024-01-06 16:00:00,2024-01-06 16:00:00,2248.67,2254.77,2237.5,2244.63,10288.938,2024-01-06 18:00:00,2024-01-06 18:00:00,23110084.1,30827.0,4815.0901,10816216.09,0.37416315375,0.10017530760533333,0.5256615525
1162,2024-01-06 18:00:00,2024-01-06 18:00:00,2244.64,2247.5,2233.0,2240.15,11199.9076,2024-01-06 20:00:00,2024-01-06 20:00:00,25093571.18,29427.0,5329.9799,11941241.65,0.4713103029833333,0.084318865562,0.44437083343333333
1163,2024-01-06 20:00:00,2024-01-06 20:00:00,2240.15,2241.01,2230.62,2240.78,11675.2242,2024-01-06 22:00:00,2024-01-06 22:00:00,26106794.94,29364.0,5612.0553,12550346.34,0.4559610383166667,0.095105884172,0.4489330854333333
1164,2024-01-06 22:00:00,2024-01-06 22:00:00,2240.77,2254.03,2238.52,2241.2,15564.5055,2024-01-07 00:00:00,2024-01-07 00:00:00,34978303.82,34085.0,8598.5035,19324176.84,0.54461973025,0.023037875335,0.43234239685
1165,2024-01-07 00:00:00,2024-01-07 00:00:00,2241.2,2248.78,2235.58,2242.2,12068.1301,2024-01-07 02:00:00,2024-01-07 02:00:00,27063973.52,30743.0,6328.8151,14192953.95,0.22894867616666661,0.12367565844999999,0.6473756846666666
1166,2024-01-07 02:00:00,2024-01-07 02:00:00,2242.19,2250.67,2241.2,2242.99,10411.2658,2024-01-07 04:00:00,2024-01-07 04:00:00,23382703.48,27605.0,5496.9324,12345404.67,0.483251435,0.2098246225,0.30692394
1167,2024-01-07 04:00:00,2024-01-07 04:00:00,2242.99,2251.44,2241.0,2249.15,10948.8681,2024-01-07 06:00:00,2024-01-07 06:00:00,24612322.92,29886.0,5575.783,12534265.23,0.53974867,0.022670916560000018,0.43758042399999997
1168,2024-01-07 06:00:00,2024-01-07 06:00:00,2249.15,2253.0,2230.26,2233.54,16507.8413,2024-01-07 08:00:00,2024-01-07 08:00:00,36987782.78,42862.0,7539.7685,16895589.87,0.5292913100000001,0.010609676674999999,0.46009901000000003
1169,2024-01-07 08:00:00,2024-01-07 08:00:00,2233.55,2243.03,2232.86,2237.04,12600.532,2024-01-07 10:00:00,2024-01-07 10:00:00,28204486.38,31759.0,6535.0097,14626768.59,0.3751769266666667,0.10357233105000002,0.52125072
1170,2024-01-07 10:00:00,2024-01-07 10:00:00,2237.05,2258.01,2231.6,2252.09,24359.5213,2024-01-07 12:00:00,2024-01-07 12:00:00,54709886.43,52866.0,13278.0508,29828841.94,0.6442406828571429,0.01473968145714287,0.34101960457142855
1171,2024-01-07 12:00:00,2024-01-07 12:00:00,2252.1,2255.0,2222.46,2230.83,25140.9167,2024-01-07 14:00:00,2024-01-07 14:00:00,56255477.11,68689.0,11266.9808,25218163.56,0.519804324,0.034791685193750005,0.44540399962499994
