,Open_time_unix,Open_time,open,high,low,close,volume,close_time_unix,Close_time,quote_volume,trans_count,taker_buy_volume,taker_buy_quote_volume,positive_p,negative_p,neutral_p
2184,2023-12-31 22:00:00,2023-12-31 22:00:00,101.72,104.75,101.51,104.12,438776.26,2024-01-01 00:00:00,2024-01-01 00:00:00,45116328.05,58520.0,242373.5,24921468.08,0.48552039973333333,0.019194144313333335,0.49528545
2185,2024-01-01 00:00:00,2024-01-01 00:00:00,104.11,104.34,102.54,103.07,252692.47,2024-01-01 02:00:00,2024-01-01 02:00:00,26132214.91,36074.0,119794.22,12391295.69,0.049404736999999976,0.057982802,0.8926124
2186,2024-01-01 02:00:00,2024-01-01 02:00:00,103.07,103.98,101.44,101.64,240582.04,2024-01-01 04:00:00,2024-01-01 04:00:00,24631580.29,37121.0,113602.01,11627965.42,0.21934524800000005,0.04123904636999999,0.739415695
2187,2024-01-01 04:00:00,2024-01-01 04:00:00,101.64,103.25,101.54,102.51,185064.07,2024-01-01 06:00:00,2024-01-01 06:00:00,18932919.76,25165.0,88445.17,9046500.553,0.5568013566666666,0.04409633150666667,0.39910230739999997
2188,2024-01-01 06:00:00,2024-01-01 06:00:00,102.49,104.31,101.78,104.03,272109.66,2024-01-01 08:00:00,2024-01-01 08:00:00,28050587.7,35483.0,135660.23,13990621.88,0.23581175399999998,0.04051352652999999,0.723674701
2189,2024-01-01 08:00:00,2024-01-01 08:00:00,104.04,104.95,103.74,104.32,372429.07,2024-01-01 10:00:00,2024-01-01 10:00:00,38843462.11,42169.0,186346.89,19437470.91,0.5391378957142857,0.026451784726000002,0.43441032227142856
2190,2024-01-01 10:00:00,2024-01-01 10:00:00,104.33,106.1,103.86,105.31,458451.96,2024-01-01 12:00:00,2024-01-01 12:00:00,48202633.62,57620.0,249707.56,26265140.71,0.87834907,0.003273803699999994,0.11837713999999999
2191,2024-01-01 12:00:00,2024-01-01 12:00:00,105.31,106.39,104.15,105.98,320640.53,2024-01-01 14:00:00,2024-01-01 14:00:00,33709700.92,43383.0,158752.03,16699302.55,0.3959899630476191,0.026461181019333327,0.5775488474714285
2192,2024-01-01 14:00:00,2024-01-01 14:00:00,105.99,108.39,105.83,107.09,543380.05,2024-01-01 16:00:00,2024-01-01 16:00:00,58195469.25,72447.0,292298.21,31308817.87,0.47839174661818185,0.03405869548727273,0.4875495573818182
2193,2024-01-01 16:00:00,2024-01-01 16:00:00,107.09,109.07,107.09,108.81,469053.58,2024-01-01 18:00:00,2024-01-01 18:00:00,50746962.07,58677.0,240075.83,25976842.36,0.32400632,0.011563525000000005,0.6644301
