coins,exchanges
SOL,binance
solana,coinbase
ETH,ftx
ethereum,kraken
XRP,opensea
ripple,wealthsimple
BIT,robinhood
bitcoin,wallstreetbets
ADA,wsb
cardano,
USDT,
tether,
DOGE,
dogecoin,
DOT,
polkadot,
BNB,
USDC,
TRON,
TRX,
SHIB,
shiba inu,
XLM,
stellar,
FIL,
filecoin,
XMR,
monero,
SEI,
NFT,
